,dataTagId,actual tags,description,system,systemName,systemInstance,equipment,equipmentName,equipmentInstance,component,componentName,componentInstance,subcomponent,subcomponentName,subcomponentInstance,measureLocation,measureLocationName,measureLocationInstance,measureProperty,measureType,measureUnit,measureInstance,tagType,group,limHi,limLo,limHiHi,limLoLo,limRangeHi,limRangeLo,datapoints,unique
392,ZCNMCY5X5J,LPG_31MAA50CT015BXQ7.OUT,"0-600 DEG C
HP EXH TEMP",Turbine System,Turbine System,1,High Pressure Turbine,Hpt,1,-,-,1,-,-,-,Outlet,Exhaust,1,Crh,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,19588,459
414,D7RFDMO7HT,LPG_31MAC10CT11AXQ07.OUT,"
LP EXHAUST STEAM TEMP-",Turbine System,Turbine System,1,Low Pressure Turbine,Lpt,1,-,-,1,-,-,1,Outlet,Exhaust,1,Steam,Temperature,Degc,3,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,149646,855
413,RZEBJP5ACM,LPG_31MAC11CP001XQ07.OUT,"
LP INLET PRESSURE-",Turbine System,Turbine System,1,Low Pressure Turbine,Lpt,1,-,-,1,-,-,1,Inlet,Inlet,1,Steam,Pressure,Kg/Cm2,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,167949,3339
224,OR0HXNF6CY,LPG_31MAG01CP003XQ07.OUT,"
CONDENSER PRESSURE-",Condensate Cycle,Condensate Cycle,1,Condenser,Condenser,1,-,-,1,-,-,1,Inlet,Inlet,1,Condensate,Pressure,Kg/Cm2,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,120879,779
422,BGFQK76T8V,LPG_31MAV42CP016XQ07.OUT,"
LUB OIL PRESSURE-2",Turbine System,Turbine System,1,Oil Supply System,Oil Supply System,1,Lubricating Oil Cooler,Lubricating Oil Cooler,1,-,-,1,Outlet,Outlet,1,Lubricating Oil,Pressure,Kg/Cm2,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,146878,1873
509,PWWWS2NMHG,LPG_31MKA02FE001XQ7.OUT,"0-180MW
LOAD ACTUAL-",Generator System,Generator System,1,Generator,Generator,1,-,-,1,-,-,1,-,-,1,Power,Load,Mw,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,166363,4837
391,1INWMFPIKK,LPG_32LBA11CT02AXQ07.OUT,"
LIVE STEAM TEMP-",Turbine System,Turbine System,1,High Pressure Turbine,Hpt,1,-,-,1,-,-,1,Inlet,Inlet-L,1,Main Steam,Temperature,Degc,2,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,149182,2533
251,M9IXTA3ITM,LPG_3ACWP101_XQ06.OUT,ACWBP-301 CURRENT,Cooling Water System,Cooling Water System,1,Acw Pump,Acwp - 301,1,Motor,Motor,1,Winding,Motor Winding,1,-,-,1,Power,Current,Amp,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,147984,2
253,RVCCZZPH9V,LPG_3ACWP102_XQ06.OUT,ACWBP-302 CURRENT,Cooling Water System,Cooling Water System,1,Acw Pump,Acwp - 302,2,Motor,Motor,1,Winding,Motor Winding,1,-,-,1,Power,Current,Amp,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,147105,10
252,TVJFESKYWL,LPG_3ACWP103_XQ06.OUT,ACWBP-303 CURRENT,Cooling Water System,Cooling Water System,1,Acw Pump,Acwp - 303,3,Motor,Motor,1,Winding,Motor Winding,1,-,-,1,Power,Current,Amp,1,-,,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,123943,19
442,JM7S6OSNV3,LPG_3AUXSTMFLOWACT.OUT,MS FLOW TO PRDS,Feed Water Cycle,Feed Water Cycle,1,Aprds,Aprds,1,-,-,1,-,-,1,Inlet,Inlet,1,Main Steam,Flow,Tph,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,210867,1
181,GNBLA2LBSL,LPG_3CCWP101A_XQ07.OUT,CCWP301 -H MtrDEBgVibH,Cooling Water System,Cooling Water System,1,Ccw Pump,Ccw Pump 301,1,Motor,Motor,1,Bearing,Motor Bearing De,1,X-Axis,X-Axis,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,147729,2
184,EUW9ISIVDP,LPG_3CCWP101B_XQ02.OUT,CCW PMP301 MtrWdgTmp,Cooling Water System,Cooling Water System,1,Ccw Pump,Ccw Pump 301,1,Motor,Motor,1,Winding,Motor Winding,1,-,-,1,Metal,Temperature,Degc,2,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,140388,1280
188,MZ3TDN5YKY,LPG_3CCWP101B_XQ06.OUT,CCWP301 -H CURRENT-B,Cooling Water System,Cooling Water System,1,Ccw Pump,Ccw Pump 301,1,Pump,Pump,1,Winding,Motor Winding,1,Phase,B Phase,1,Power,Current,Amp,1,Feedback,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,177756,568
182,D0QEMNPDN6,LPG_3CCWP101B_XQ07.OUT,CCWP301 -H MtrDEBgVibV,Cooling Water System,Cooling Water System,1,Ccw Pump,Ccw Pump 301,1,Motor,Motor,1,Bearing,Motor Bearing De,1,Y-Axis,Y-Axis,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,150263,2
185,HAWS9GXEND,LPG_3CCWP101E_XQ07.OUT,CCWP301 -H PmpDEBgVibH,Cooling Water System,Cooling Water System,1,Ccw Pump,Ccw Pump 301,1,Pump,Pump,1,Bearing,Pump Bearing De,1,X-Axis,X-Axis,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,210001,1
186,CWCCDTSMGZ,LPG_3CCWP101F_XQ07.OUT,CCWP301 -H PmpDEBgVibV,Cooling Water System,Cooling Water System,1,Ccw Pump,Ccw Pump 301,1,Pump,Pump,1,Bearing,Pump Bearing De,1,Y-Axis,Y-Axis,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,167307,2
183,KFVW6IBPDC,LPG_3CCWP101G_XQ02.OUT,CCW PMP301 MtrDEBrgTmp,Cooling Water System,Cooling Water System,1,Ccw Pump,Ccw Pump 301,1,Motor,Motor,1,Bearing,Motor Bearing De,1,-,-,1,Metal,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,141835,841
187,FWPLA7ZHMV,LPG_3CCWP101I_XQ02.OUT,CCW PMP301 PmpDEBrgTmp,Cooling Water System,Cooling Water System,1,Ccw Pump,Ccw Pump 301,1,Pump,Pump,1,Bearing,Pump Bearing De,1,-,-,1,Metal,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,170001,925
189,T27EQWBUAR,LPG_3CCWP102A_XQ07.OUT,CCWP302 -H MtrDEBgVibH,Cooling Water System,Cooling Water System,1,Ccw Pump,Ccw Pump 302,2,Motor,Motor,1,Bearing,Motor Bearing De,1,X-Axis,X-Axis,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,147623,1
192,QBFS0OFFNM,LPG_3CCWP102B_XQ02.OUT,CCW PMP302 MtrWdgTmp,Cooling Water System,Cooling Water System,1,Ccw Pump,Ccw Pump 302,2,Motor,Motor,1,Winding,Motor Winding,1,-,-,1,Metal,Temperature,Degc,2,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,180963,1389
196,BMYM7DQXR3,LPG_3CCWP102B_XQ06.OUT,CCWP302 -H CURRENT-B,Cooling Water System,Cooling Water System,1,Ccw Pump,Ccw Pump 302,2,Pump,Pump,1,Winding,Motor Winding,1,Phase,B Phase,1,Power,Current,Amp,1,Feedback,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,219882,646
190,GJOIQFKNXM,LPG_3CCWP102D_XQ07.OUT,CCWP302 -H MtrNDEBgVibV,Cooling Water System,Cooling Water System,1,Ccw Pump,Ccw Pump 302,2,Motor,Motor,1,Bearing,Motor Bearing Nde,2,Y-Axis,Y-Axis,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,219380,1
193,ZCAOVDR0LC,LPG_3CCWP102E_XQ07.OUT,CCWP302 -H PmpDEBgVibH,Cooling Water System,Cooling Water System,1,Ccw Pump,Ccw Pump 302,2,Pump,Pump,1,Bearing,Pump Bearing De,1,X-Axis,X-Axis,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,150970,1
194,NMYXFCISGR,LPG_3CCWP102F_XQ07.OUT,CCWP302 -H PmpDEBgVibV,Cooling Water System,Cooling Water System,1,Ccw Pump,Ccw Pump 302,2,Pump,Pump,1,Bearing,Pump Bearing De,1,Y-Axis,Y-Axis,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,148083,1
191,G0BMXKUJCV,LPG_3CCWP102G_XQ02.OUT,CCW PMP302 MtrDEBrgTmp,Cooling Water System,Cooling Water System,1,Ccw Pump,Ccw Pump 302,2,Motor,Motor,1,Bearing,Motor Bearing De,1,-,-,1,Metal,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,142050,911
195,JPZGNFYSQC,LPG_3CCWP102I_XQ02.OUT,CCW PMP302 PmpDEBrgTmp,Cooling Water System,Cooling Water System,1,Ccw Pump,Ccw Pump 302,2,Pump,Pump,1,Bearing,Pump Bearing De,1,-,-,1,Metal,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,146487,913
434,VR42DZNUYP,LPG_3CRHAUXSTMFLOWACT.OUT,CRH FLOW TO PRDS,Feed Water Cycle,Feed Water Cycle,1,Aprds,Aprds,1,-,-,1,-,-,1,Inlet,Inlet,1,Crh,Flow,Tph,3,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,144711,62407
255,Z6GBDKVFNC,LPG_3CTF01_XQ06.OUT,CLG TWR FAN 01 CURRENT,Cooling Water System,Cooling Water System,1,Cooling Tower Fan,Ct Fan - 1,1,Motor,Motor,1,Winding,Winding,1,-,-,1,Power,Current,Amp,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,169391,840
257,9ZJVEKVLYF,LPG_3CTF02_XQ06.OUT,CLG TWR FAN 02 CURRENT,Cooling Water System,Cooling Water System,1,Cooling Tower Fan,Ct Fan - 2,2,Motor,Motor,1,Winding,Winding,1,-,-,1,Power,Current,Amp,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,146755,1152
264,JENLVILMXS,LPG_3CTF03_XQ06.OUT,CLG TWR FAN 03 CURRENT,Cooling Water System,Cooling Water System,1,Cooling Tower Fan,Ct Fan - 3,3,Motor,Motor,1,Winding,Winding,1,-,-,1,Power,Current,Amp,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,128457,694
260,KCIMFGW3CM,LPG_3CTF04_XQ06.OUT,CLG TWR FAN 04 CURRENT,Cooling Water System,Cooling Water System,1,Cooling Tower Fan,Ct Fan - 4,4,Motor,Motor,1,Winding,Winding,1,-,-,1,Power,Current,Amp,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,164758,757
262,YJVLAFFCKB,LPG_3CTF05_XQ06.OUT,CLG TWR FAN 05 CURRENT,Cooling Water System,Cooling Water System,1,Cooling Tower Fan,Ct Fan - 5,5,Motor,Motor,1,Winding,Winding,1,-,-,1,Power,Current,Amp,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,207315,805
263,MZGERQDVYG,LPG_3CTF06_XQ06.OUT,CLG TWR FAN 06 CURRENT,Cooling Water System,Cooling Water System,1,-,Ct Fan - 6,6,Motor,Motor,1,Winding,Winding,1,-,-,1,Power,Current,Amp,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,147212,908
267,V3VHBQI7PY,LPG_3CTF07_XQ06.OUT,CLG TWR FAN 07 CURRENT,Cooling Water System,Cooling Water System,1,Cooling Tower Fan,Ct Fan - 7,7,Motor,Motor,1,Winding,Winding,1,-,-,1,Power,Current,Amp,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,148040,510
272,XKW1LHMRR0,LPG_3CWP401B_XQ02.OUT,CW PMP301 MTR WDG TMP,Cooling Water System,Cooling Water System,1,Cw Pump,Cw Pump - 301,1,Motor,Motor,1,Winding,Motor Winding,1,-,-,1,Metal,Temperature,Degc,2,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,175808,2128
271,Z6BE072LAP,LPG_3CWP401B_XQ06.OUT,CWP301 CURRENT-B,Cooling Water System,Cooling Water System,1,Cw Pump,Cw Pump - 301,1,Motor,Motor,1,Winding,Motor Winding,1,Phase,B Phase,2,Power,Current,Amp,1,Feedback,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,212457,1166
268,K7YBUO707S,LPG_3CWP401B_XQ07.OUT,CWP301 MtrDEBgVibV,Cooling Water System,Cooling Water System,1,Cw Pump,Cw Pump - 301,1,Motor,Motor,1,Bearing,Motor Bearing De,1,Y-Axis,Y-Axis,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,143501,1007
270,FLUUYOJXKO,LPG_3CWP401C_XQ07.OUT,CWP301 MtrNDEBgVibH,Cooling Water System,Cooling Water System,1,Cw Pump,Cw Pump - 301,1,Motor,Motor,1,Bearing,Motor Bearing Nde,2,X-Axis,X-Axis,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,143389,1080
273,EEBGYPZUIV,LPG_3CWP401E_XQ07.OUT,CWP301 PmpDEBgVibH,Cooling Water System,Cooling Water System,1,Cw Pump,Cw Pump - 301,1,Pump,Pump,1,Bearing,Pump Bearing De,1,X-Axis,X-Axis,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,176670,661
274,PJZFRT0QLC,LPG_3CWP401F_XQ07.OUT,CWP301 PmpDEBgVibV,Cooling Water System,Cooling Water System,1,Cw Pump,Cw Pump - 301,1,Pump,Pump,1,Bearing,Pump Bearing De,1,Y-Axis,Y-Axis,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,145400,7
269,8OKLSPYTAK,LPG_3CWP401G_XQ02.OUT,CW PMP301 MTR DE BRG TMP,Cooling Water System,Cooling Water System,1,Cw Pump,Cw Pump - 301,1,Motor,Motor,1,Bearing,Motor Bearing De,1,-,-,1,Metal,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,146324,1138
275,F2IXQCJ8ME,LPG_3CWP401I_XQ02.OUT,CW PMP301 PMP DE BRG TMP,Cooling Water System,Cooling Water System,1,Cw Pump,Cw Pump - 301,1,Pump,Pump,1,Bearing,Pump Bearing De,1,-,-,1,Metal,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,158944,965
280,JBJKJQRXW1,LPG_3CWP402A_XQ02.OUT,CW PMP302 MTR WDG TMP,Cooling Water System,Cooling Water System,1,Cw Pump,Cw Pump - 302,2,Motor,Motor,1,Winding,Motor Winding,1,-,-,1,Metal,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,147742,2219
278,0LQN91OKAP,LPG_3CWP402A_XQ07.OUT,CWP302 MtrDEBgVibH,Cooling Water System,Cooling Water System,1,Cw Pump,Cw Pump - 302,2,Motor,Motor,1,Bearing,Motor Bearing De,1,X-Axis,X-Axis,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,147193,1290
279,KP9R7AYWNZ,LPG_3CWP402B_XQ06.OUT,CWP302 CURRENT-B,Cooling Water System,Cooling Water System,1,Cw Pump,Cw Pump - 302,2,Motor,Motor,1,Winding,Motor Winding,1,Phase,B Phase,2,Power,Current,Amp,1,Feedback,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,151877,1217
276,8FHFM0GNJB,LPG_3CWP402B_XQ07.OUT,CWP302 MtrDEBgVibV,Cooling Water System,Cooling Water System,1,Cw Pump,Cw Pump - 302,2,Motor,Motor,1,Bearing,Motor Bearing De,1,Y-Axis,Y-Axis,1,Metal,Vibration,Mm/Sec,2,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,143280,1477
281,OPQTZVIQYX,LPG_3CWP402E_XQ07.OUT,CWP302 PmpDEBgVibH,Cooling Water System,Cooling Water System,1,Cw Pump,Cw Pump - 302,2,Pump,Pump,1,Bearing,Pump Bearing De,1,X-Axis,X-Axis,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,143929,462
282,I7GXP5AFFB,LPG_3CWP402F_XQ07.OUT,CWP302 PmpDEBgVibV,Cooling Water System,Cooling Water System,1,Cw Pump,Cw Pump - 302,2,Pump,Pump,1,Bearing,Pump Bearing De,1,Y-Axis,Y-Axis,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,143774,1014
277,7W9EYHU4I4,LPG_3CWP402G_XQ02.OUT,CW PMP302 MTR DE BRG TMP,Cooling Water System,Cooling Water System,1,Cw Pump,Cw Pump - 302,2,Motor,Motor,1,Bearing,Motor Bearing De,1,-,-,1,Metal,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,207744,1314
283,SGHLNHWDLG,LPG_3CWP402I_XQ02.OUT,CW PMP302 PMP DE BRG TMP,Cooling Water System,Cooling Water System,1,Cw Pump,Cw Pump - 302,2,Pump,Pump,1,Bearing,Pump Bearing De,1,-,-,1,Metal,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,144767,1003
225,0QCFEHLAGL,LPG_3DPT040_XQ01.OUT,DP B/N COND1 IL2/OL2,Condensate Cycle,Condensate Cycle,1,Condenser,Condenser,1,Shell Side,Shell Side - 2,2,-,-,1,Inlet,Inlet,1,Cooling Water,Differential Pressure,Mmwc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,148987,3771
223,F3SWQPM7SW,LPG_3DPT041_XQ01.OUT,DP B/N COND1 IL1/OL1,Condensate Cycle,Condensate Cycle,1,Condenser,Condenser,1,Shell Side,Shell Side - 1,1,-,-,1,-,-,1,Cooling Water,Differential Pressure,Mmwc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,148826,2
437,6JNTHVRE9G,LPG_3FDF_A_LOP_PR.OUT,FD FAN A LUBE OIL PRESS,Boiler,Pcfb,1,Fd Fan,Fdf-A,1,Lubricating Oil Header,Lubricating Oil Header,1,-,-,1,Outlet,Outlet,1,Lubricating Oil,Pressure,-,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,0,0
436,DZW1P5GS7E,LPG_3FDF_B_LOP_PR.OUT,FD FAN B LUBE OIL PRESS,Boiler,Pcfb,1,Fd Fan,Fdf-B,2,Lubricating Oil Header,Lubricating Oil Header,1,-,-,1,Outlet,Outlet,1,Lubricating Oil,Pressure,-,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,0,0
87,DDEMEOSANP,LPG_3HAC10CP001_XQ01.OUT,FW PR ECO IL,Boiler,Pcfb,1,Economizer,Economizer,1,-,-,1,-,-,1,Inlet,Inlet,1,Feed Water,Pressure,Kg/Cm2,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,175355,3766
89,YPWR3CSV8G,LPG_3HAC10CT001_XQ02.OUT,FW TMP ECO IL,Boiler,Pcfb,1,Economizer,Economizer,1,-,-,1,-,-,1,Inlet,Inlet,1,Feed Water,Temperature,Degc,1,-,Feed Water Path,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,144907,481
84,12YMJK45PF,LPG_3HAC13CT001_XQ03.OUT,FW TMP ECO OL-L,Boiler,Pcfb,1,Economizer,Economizer,1,Pass,Left Pass,1,-,-,1,Outlet,Outlet,1,Feed Water,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,146879,637
455,QQBXZXMBTJ,LPG_3HAC13CT001_XQ03.OUT_LPG_3HAC14CT001_XQ03.OUT_deltaT,Economizer Delta T,Boiler,Pcfb,1,Economizer,Economizer,1,Pass,Left Pass,1,-,-,1,Outlet,Outlet,1,Feed Water,Delta T,Degc,1,-,-,10000000,-10000000,10000000,-10000000,10000000,-10000000,84225,21444
79,HMBFY9LKYH,LPG_3HAD10CP001_XQ01.OUT,DRUM PR-L,Boiler,Pcfb,1,Boiler Drum,Boiler Drum,1,-,-,1,-,-,1,Body,Left,1,Steam,Pressure,Kg/Cm2,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,207753,3851
80,7VSZJ0YPQL,LPG_3HAD10CT001_XQ03.OUT,DRUM MTL TMP1,Boiler,Pcfb,1,Boiler Drum,Boiler Drum,1,-,-,1,-,-,1,-,-,1,Metal,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,189568,592
476,P1BSKQ9DF0,LPG_3HAD12CL001_XQ01.OUT_LPG_3HAD11CL001_XQ01.OUT_df,Boiler Drum level L-R difference,Boiler,Pcfb,1,Boiler Drum,Boiler Drum,1,-,-,1,-,-,1,Body,Right,2,Feed Water,Difference,Mm,1,-,-,10000000,-10000000,10000000,-10000000,10000000,-10000000,56375,16086
179,KSFH03KVNZ,LPG_3HAH05CT001_XQ03.OUT,SH H9 OL TMP L,Boiler,Pcfb,1,Sh Attemperator,Sh Attemperator,1,Dsh,SH DSH,1,-,-,1,Outlet,Outlet-L,1,Steam,Temperature,Degc,1,-,Steam Path,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,123966,207
450,PWZDFMI5KT,LPG_3HAH05CT001_XQ03.OUT_LPG_3HAH05CT002_XQ03.OUT_deltaT,Final Platen SH Delta T Left-Right,Boiler,Pcfb,1,Final Superheater,Final Sh,1,Pass,Left Pass,1,-,-,1,Outlet,Outlet,1,Main Steam,Delta T,Degc,1,-,-,10000000,-10000000,10000000,-10000000,10000000,-10000000,70757,7614
166,6WYC8UB4T5,LPG_3HAH10CT002_XQ03.OUT,LTSH MTL TMP2,Boiler,Pcfb,1,Ltsh,Ltsh,1,-,-,1,Tube,Tube 2,2,-,-,1,Metal,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,122644,1334
167,G9FW8ONQAN,LPG_3HAH21CT001_XQ03.OUT,DESH IL TMP,Boiler,Pcfb,1,-,Ltsh,1,-,-,1,-,-,1,Inlet,Outlet,1,Steam,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,186855,1053
171,HT5LJGSWQS,LPG_3HAH25CT001_XQ03.OUT,STM TMP PSH IL,Boiler,Pcfb,1,-,Psh,1,-,-,1,-,-,1,Inlet,Inlet,1,Steam,Temperature,Degc,1,PADO,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,130287,933
172,O4TXEEMY11,LPG_3HAH25CT002_XQ03.OUT,STM TMP PSH IL,Boiler,Pcfb,1,Platen Superheater,Psh,1,-,-,1,-,-,1,Inlet,Inlet,1,Steam,Temperature,Degc,2,PADO,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,191234,1306
170,XXB8QXQFPL,LPG_3HAH26CT001_XQ03.OUT,PSH MTL TMP1,Boiler,Pcfb,1,Platen Superheater,Psh,1,-,-,1,Tube,Tube 1,1,-,-,1,Metal,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,123991,963
173,BEUO0UGK2M,LPG_3HAH30CT001_XQ03.OUT,STM TMP AT PSH OL,Boiler,Pcfb,1,Platen Superheater,Psh,1,-,-,1,-,-,1,Outlet,Outlet,1,Steam,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,124877,1129
180,YJSUVPQGKF,LPG_3HAH50CT001_XQ03.OUT,FSH MTL TMP1,Boiler,Pcfb,1,Final Superheater,Final Sh,1,-,-,1,Tube,Tube 1,1,-,-,1,Metal,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,127880,468
159,ATWS6GKTEZ,LPG_3HAJ20CT001_XQ03.OUT,RH MTL TMP1,Boiler,Pcfb,1,Reheater,Reheater,1,-,-,1,Tube,Tube 1,1,-,-,1,Metal,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,128175,1358
111,NLUUHH3EHW,LPG_3HBK10CP002_XQ01.OUT,DP ACRS WB & FUR-L,Boiler,Pcfb,1,Furnace,Furnace,1,Windbox,Windbox-L,1,-,-,1,-,-,1,Secondary Air,Differential Pressure,Mmwc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,151446,9258
109,FCCSIVIXRI,LPG_3HBK10CP004_XQ01.OUT,FURN PR-L,Boiler,Pcfb,1,Furnace,Furnace,1,Pass,Left Pass,1,-,-,1,-,-,1,Furnace,Pressure,Mmwc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,149729,1599
114,ZXCM7RDX8E,LPG_3HBK10CP005_XQ03.OUT,"
FURNACE PRESSURE-",Boiler,Pcfb,1,Furnace,Furnace,1,-,-,1,-,-,1,-,-,1,Flue Gas,Pressure,Mmwc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,128661,708
484,0M8JQLDAGL,LPG_3HBK10CP005_XQ03.OUT_LPG_3HBK25CP001_XQ01.OUT_dp,Superheater PSH FG Pressure drop Right Pass,Boiler,Pcfb,1,Platen Superheater,Psh,1,Pass,Right Pass,2,-,-,1,-,-,1,Flue Gas,Delta P,Mmwc,1,-,-,10000000,-10000000,10000000,-10000000,10000000,-10000000,80262,24437
110,XZSKRO9YZO,LPG_3HBK10CT001_XQ03.OUT,FURN OL TMP-L,Boiler,Pcfb,1,Furnace,Furnace,1,Pass,Left Pass,1,-,-,1,-,-,1,Furnace,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,127809,3529
168,N0G4IKHVED,LPG_3HBK20CP001_XQ01.OUT,FG PR PSH OL-L,Boiler,Pcfb,1,Platen Superheater,Psh,1,Pass,Left Pass,1,-,-,1,Outlet,Outlet,1,Flue Gas,Pressure,Mmwc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,147236,1156
486,FN9OMR34P2,LPG_3HBK20CP001_XQ01.OUT_LPG_3HBK40CP001_XQ01.OUT_dp,Superheater Final SH FG Pressure drop Left pass,Boiler,Pcfb,1,Final Superheater,Final Sh,1,Pass,Left Pass,1,-,-,1,Outlet,Outlet,1,Flue Gas,Delta P,Mmwc,1,-,-,10000000,-10000000,10000000,-10000000,10000000,-10000000,111792,7279
