,dataTagId,actual tags,description,system,systemName,systemInstance,equipment,equipmentName,equipmentInstance,component,componentName,componentInstance,subcomponent,subcomponentName,subcomponentInstance,measureLocation,measureLocationName,measureLocationInstance,measureProperty,measureType,measureUnit,measureInstance,tagType,group,limHi,limLo,limHiHi,limLoLo,limRangeHi,limRangeLo,datapoints,unique
424,HK2UZCSMIJ,LPG_3MAV41CT001AXQ01.OUT,"

LUBE OIL TEMP BEF CLR",Turbine System,Turbine System,1,Oil Supply System,Oil Supply System,1,Lubricating Oil Cooler,Lubricating Oil Cooler,1,-,-,1,Inlet,Inlet,1,Lubricating Oil,Temperature,Degc,6,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,139905,91
425,8KNTZIAP9H,LPG_3MAV42CP013XQ01.OUT,"
D P ACR LUBE OIL FILTER",Turbine System,Turbine System,1,Oil Supply System,Oil Supply System,1,Lubricating Oil Filter,Lubricating Oil Filter,1,-,-,1,-,-,1,Lubricating Oil,Differential Pressure,Kg/Cm2,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,194381,2670
423,W4WYZVGRG5,LPG_3MAV42CT001AXQ01.OUT,"

LUBE OIL TEMP AFT CLR",Turbine System,Turbine System,1,Oil Supply System,Oil Supply System,1,Lubricating Oil Cooler,Lubricating Oil Cooler,1,-,-,1,Drain,Drain,1,Lubricating Oil,Temperature,Degc,7,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,141449,102
420,JNGQYH9UIW,LPG_3MAV42DP001YJ21.OUT,"

LUBE OIL HDR PR",Turbine System,Turbine System,1,Oil Supply System,Oil Supply System,1,Aop Header,AOP Header,1,-,-,1,Outlet,Discharge,1,Lubricating Oil,Pressure,Kg/Cm2,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,144732,1855
400,JHVEKIF5BQ,LPG_3MAV71CT001XQ10.OUT,"

LO FRM HP/IP TURB FJB TEMP",Turbine System,Turbine System,1,High Pressure Turbine,Hpt,1,-,-,1,-,Front Bearing,1,Drain,Drain,1,Lubricating Oil,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,139571,233
409,XFTVCBDRLJ,LPG_3MAV71CT003XQ10.OUT,LO FRM LP TURB RJB TEMP,Turbine System,Turbine System,1,Low Pressure Turbine,Lpt,1,-,-,1,Bearing,Rear Bearing,1,Drain,Drain,1,Lubricating Oil,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,119401,188
375,HS9YN7KZKY,LPG_3MAV71CT004XQ10.OUT,"

LO FRM GEN FJB TEMP",Generator System,Generator System,1,Generator,Generator,1,-,-,1,Bearing,Front Bearing,1,Drain,Drain,1,Lubricating Oil,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,166150,225
421,ZYFAWHQHWV,LPG_3MAV91CT023XQ10.OUT,"

OIL I/L AFT INDIRECTHTR TEMP",Turbine System,Turbine System,1,Oil Supply System,Oil Supply System,1,Indirect Heater,Indirect Heater,1,-,-,1,Inlet,Inlet,1,Lubricating Oil,Temperature,Degc,3,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,161484,1
291,PXAEZ4OUM6,LPG_3MAW20DP002AYJ25.OUT,"

SLIDING SETPOINT TO APRDS",Feed Water Cycle,Feed Water Cycle,1,Aprds,Aprds,1,-,-,1,-,-,1,-,-,1,Steam,Pressure,Kg/Cm2,1,Command,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,147099,2
381,NJHJ5BP4CQ,LPG_3MAX01CT021XQ10.OUT,"

LO FRM HP/IP TURB FJB TEMP",Turbine System,Turbine System,1,High Pressure Turbine,Hpt,1,-,-,1,Bearing,Front Journal Bearing,1,Drain,Drain,1,Lubricating Oil,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,151286,1
376,PHNVMSJPDS,LPG_3MKD11CT014AXQ10.OUT,GEN FRNT BRG MTL TEMP,Generator System,Generator System,1,Generator,Generator,1,-,-,1,Bearing,Front Bearing,1,-,-,1,Metal,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,176310,126
377,BW3PYCYD9Q,LPG_3MKD11CY021XQ07.OUT,"
GEN FRNT BRG HSNG VIBN-",Generator System,Generator System,1,Generator,Generator,1,-,-,1,Bearing,Front Bearing,1,-,-,1,Metal,Vibration,Um,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,174155,1734
379,BEBSKRKCLG,LPG_3MKD11CY041XQ07.OUT,"
GEN FRNT REL SHFT VIBN-",Generator System,Generator System,1,Generator,Generator,1,-,-,1,Shaft,Shaft,1,Front,Front,1,Shaft,Vibration,Um,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,147148,1560
378,Q0QL2WYIJH,LPG_3MKD11CY042XQ07.OUT,"
GEN REAR REL SHFT VIBN-",Generator System,Generator System,1,Generator,Generator,1,-,-,1,Shaft,Shaft,1,Rear,Rear,1,Shaft,Vibration,Um,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,146280,1869
444,B66NVEQNJL,LPG_3PAF_B_COP_PR.OUT,PA FAN A LUBE OIL PRESS,Boiler,Pcfb,1,Pa Fan,Paf-A,1,Lubricating Oil Header,Lubricating Oil Header,1,-,-,1,Outlet,Outlet,1,Lubricating Oil,Pressure,-,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,0,0
446,OZ6RGS771H,LPG_3PAF_B_LOP_PR.OUT,PA FAN B LUBE OIL PRESS,Boiler,Pcfb,1,Pa Fan,Paf-B,2,Lubricating Oil Header,Lubricating Oil Header,1,-,-,1,Outlet,Outlet,1,Lubricating Oil,Pressure,-,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,0,0
220,YWO9QR0BIP,LPG_3PT048_XQ01.OUT,CW TO COND1 IL1 PR,Condensate Cycle,Condensate Cycle,1,Condenser,Condenser,1,Shell Side,Shell Side - 1,1,-,-,1,Inlet,Inlet,1,Cooling Water,Pressure,Mmwc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,146911,973
432,TKWO114FHK,LPG_3SPCCA06R1M5CH15.OUT,CEP A CURRENT,Condensate Cycle,Condensate Cycle,1,Cep,Cep-A,1,Motor,Motor,1,Winding,Motor Winding,1,-,-,1,Power,Current,Amp,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,145790,432
433,MEMW7JB2VM,LPG_3SPCCA06R1M5CH16.OUT,CEP BCURRENT,Condensate Cycle,Condensate Cycle,1,Cep,Cep-B,2,Motor,Motor,1,Winding,Motor Winding,1,-,-,1,Power,Current,Amp,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,147988,2959
221,D7HCQMAHZC,LPG_3TE002_XQ02.OUT,CW TEMP COND1 IL1,Condensate Cycle,Condensate Cycle,1,Condenser,Condenser,1,Shell Side,Shell Side - 1,1,-,-,1,Inlet,Inlet,1,Cooling Water,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,139147,162
222,SSPTM5VAES,LPG_3TE006_XQ02.OUT,CW TEMP COND1OL2,Condensate Cycle,Condensate Cycle,1,Condenser,Condenser,1,Shell Side,Shell Side - 2,2,-,-,1,Outlet,Outlet,1,Cooling Water,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,202219,216
470,O8BQGJPSJ4,LPG_3TE006_XQ02.OUT_LPG_3TE002_XQ02.OUT_dt,Condenser shell side-1 CW Temperature rise,Condensate Cycle,Condensate Cycle,1,Condenser,Condenser,1,Shell Side,Shell Side - 2,2,-,-,1,Outlet,Outlet,1,Cooling Water,Delta T,Degc,1,-,-,10000000,-10000000,10000000,-10000000,10000000,-10000000,108296,11390
443,R2OTPQZQOV,LPG_3TOTALMSFLOW.OUT,MS FLOW,Boiler,Pcfb,1,Final Superheater,Final Sh,1,Main Steam Line,Main Steam Line,1,-,-,1,Outlet,Outlet,1,Main Steam,Flow,Tph,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,146067,6381
447,ANVXONNQJL,LPG_3TOTALPAFLOW.OUT,TOTAL PA FLOW,Boiler,Pcfb,1,Pa Fan,Paf-A,1,-,-,1,-,-,1,,Inlet,1,Primary Air,Flow,Tph,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,210607,149964
374,AZGRIHH2L4,LPG_3TrbESCoreRTD1.OUT,TURB ES CORE RTD-1,Generator System,Generator System,1,Generator,Generator,1,Stator,Stator,1,-,-,1,Core,Ee,1,Metal,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,146640,401
372,T0H2239E0A,LPG_3TrbESWDG1.OUT,TURB ES WDG RTD-1,Generator System,Generator System,1,Generator,Generator,1,Stator,Stator,1,Winding,Stator Winding,1,Exciter End,Exciter End,1,Metal,Temperature,Degc,1,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,147281,770
373,XLUC3LI1BS,LPG_3TrbTSWDG2.OUT,TURB TS WDG RTD-2,Generator System,Generator System,1,Generator,Generator,1,Stator,Stator,1,Winding,Stator Winding,1,Turbine End,Turbine End,1,Metal,Temperature,Degc,2,-,-,10000000000,-10000000000,10000000000,-10000000000,10000000000,-10000000000,142796,735
254,JL8C6YRT3M,LPG_3VT001_XQ07.OUT,CLG TWR FAN 01 MTR VIB,Cooling Water System,Cooling Water System,1,-,Ct Fan - 1,1,Motor,Motor,1,-,-,1,-,-,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,162168,688
256,PCHZE9K9BS,LPG_3VT002_XQ07.OUT,CLG TWR FAN 02 MTR VIB,Cooling Water System,Cooling Water System,1,Cooling Tower Fan,Ct Fan - 2,2,Motor,Motor,1,-,-,1,-,-,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,149191,296
258,WAQHLBYW8B,LPG_3VT003_XQ07.OUT,CLG TWR FAN 03 MTR VIB,Cooling Water System,Cooling Water System,1,-,Ct Fan - 3,3,Motor,Motor,1,-,-,1,-,-,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,0,0
259,NRRWZVMHDS,LPG_3VT004_XQ07.OUT,CLG TWR FAN 04 MTR VIB,Cooling Water System,Cooling Water System,1,-,Ct Fan - 4,4,Motor,Motor,1,-,-,1,-,-,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,149778,457
261,F1LIZNOVWY,LPG_3VT005_XQ07.OUT,CLG TWR FAN 05 MTR VIB,Cooling Water System,Cooling Water System,1,-,Ct Fan - 5,5,Motor,Motor,1,-,-,1,-,-,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,164915,422
265,PIWP1JTUQJ,LPG_3VT006_XQ07.OUT,CLG TWR FAN 06 MTR VIB,Cooling Water System,Cooling Water System,1,Cooling Tower Fan,Ct Fan - 6,6,Motor,Motor,1,-,-,1,-,-,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,146180,1221
266,ZVKMLSE9DS,LPG_3VT007_XQ07.OUT,CLG TWR FAN 07 MTR VIB,Cooling Water System,Cooling Water System,1,Cooling Tower Fan,Ct Fan - 7,7,Motor,Motor,1,-,-,1,-,-,1,Metal,Vibration,Mm/Sec,1,-,-,10000000000,-10000000000,10000000000,0,10000000000,-10000000000,147463,688
505,4VSR9UTVIF,LPG3_c7ed_1_coalFlow,Fuel Flow,Boiler,Pcfb,1,Performance Kpi,Performance Kpi,1,-,-,1,-,-,1,-,-,1,Coal,Flow,Tph,1,-,-,-,-,-,-,-,-,0,0
,R2_steam_to_fuel_ratio,NJT_R2_steam_to_fuel_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
